target,repeat,ic_efe_threshold,ic_div_threshold,num_replanning,trial_steps,timesteps_inside_target,computation_time,ii_timesteps,ii_threshold,unfinished
2,0,1.0,,46,101,91,38.605846643447876,96,10000.0,False
5,0,1.0,,53,101,82,40.037182092666626,36,1000000.0,False
1,0,,,100,101,83,51.19061899185181,96,100000.0,False
5,0,1.0,,43,101,76,37.87579703330994,0,,False
11,0,,,100,101,68,51.075763463974,96,100000.0,False
11,0,,,100,101,68,50.19658041000366,96,1000.0,False
7,0,,,100,101,71,51.4170196056366,57,1000000000.0,False
3,0,,,100,101,89,48.56539034843445,40,100000.0,False
6,0,1.0,,69,101,67,47.428563594818115,0,,False
8,0,,,100,101,84,49.98429322242737,0,,False
3,0,,,100,101,89,48.539055824279785,24,1000000.0,False
8,0,,,100,101,84,49.566890478134155,96,1000.0,False
10,0,1.0,,72,101,62,47.09120559692383,0,,False
2,0,1.0,,46,101,91,40.189799070358276,96,10.0,False
5,0,,,100,101,77,50.40271520614624,96,10.0,False
5,0,,,100,101,77,50.987406969070435,96,1000.0,False
8,0,1.0,,71,101,73,51.074382305145264,0,,False
1,0,,,100,101,83,50.91059112548828,96,100.0,False
5,0,1.0,,43,101,76,38.86421775817871,96,10000.0,False
0,0,,,100,101,73,50.5520076751709,76,10000.0,False
4,0,1.0,,55,101,80,43.80858826637268,85,100000.0,False
11,0,1.0,,78,101,55,50.142478942871094,96,10000.0,False
4,0,,,100,101,85,48.80230093002319,28,1000000.0,False
6,0,,,100,101,56,49.110305309295654,96,1000.0,False
10,0,1.0,,57,101,76,40.187199115753174,54,100000000.0,False
9,0,1.0,,55,101,85,43.299805879592896,96,100.0,False
3,0,1.0,,59,101,91,43.38188695907593,0,,False
0,0,1.0,,57,101,76,47.42788648605347,0,,False
3,0,1.0,,59,101,91,43.55768299102783,96,1000.0,False
9,0,,,100,101,81,49.75095295906067,87,1000000.0,False
4,0,1.0,,47,101,80,37.739327907562256,44,1000000.0,False
6,0,,,100,101,67,50.430586099624634,81,10000000.0,False
6,0,1.0,,50,101,66,39.887070178985596,58,1000000000.0,False
4,0,1.0,,60,101,80,46.011815547943115,94,1000.0,False
7,0,,,100,101,78,51.3075053691864,96,1000.0,False
10,0,1.0,,72,101,62,47.76998829841614,96,100000.0,False
3,0,,,100,101,89,49.48767685890198,0,,False
9,0,1.0,,55,101,85,41.220630168914795,0,,False
11,0,1.0,,71,101,66,46.45098900794983,66,10000000.0,False
1,0,1.0,,51,101,83,40.613335371017456,96,10000.0,False
2,0,1.0,,49,101,89,36.825846672058105,26,10000000.0,False
10,0,,,100,101,78,49.49042105674744,57,1000000000.0,False
11,0,1.0,,78,101,55,50.06607532501221,96,10.0,False
2,0,,,100,101,90,49.37229514122009,39,1000000.0,False
5,0,1.0,,43,101,76,36.603055477142334,96,100000.0,False
0,0,1.0,,53,101,81,39.64182233810425,24,100000000.0,False
8,0,1.0,,71,101,73,46.62077879905701,96,10.0,False
0,0,,,100,101,83,48.74318218231201,25,100000000.0,False
4,0,,,100,101,79,50.18493723869324,96,100.0,False
3,0,,,100,101,92,50.53504753112793,18,10000000.0,False
0,0,,,100,101,73,51.46112060546875,76,100000.0,False
10,0,1.0,,65,101,74,47.10756015777588,45,1000000000.0,False
10,0,1.0,,72,101,62,48.04367542266846,96,1000000.0,False
1,0,1.0,,51,101,83,42.293346881866455,0,,False
8,0,,,100,101,84,50.67824196815491,96,100000.0,False
6,0,1.0,,69,101,67,46.519010066986084,96,10.0,False
2,0,,,100,101,90,47.4715633392334,20,10000000.0,False
6,0,,,100,101,56,48.78115510940552,96,100.0,False
4,0,,,100,101,85,49.342002630233765,24,10000000.0,False
6,0,,,100,101,56,50.345309257507324,96,10000.0,False
11,0,1.0,,78,101,55,50.7210431098938,96,100.0,False
4,0,1.0,,55,101,84,38.486918926239014,18,1000000000.0,False
4,0,1.0,,37,101,84,34.516823053359985,34,10000000.0,False
7,0,1.0,,76,101,67,52.776633977890015,96,10.0,False
7,0,,,100,101,78,47.7295343875885,0,,False
9,0,1.0,,73,101,84,48.75931525230408,95,100000.0,False
2,0,1.0,,48,101,91,40.20041084289551,18,1000000000.0,False
2,0,1.0,,52,101,90,38.5697124004364,20,100000000.0,False
0,0,1.0,,57,101,76,44.87028884887695,96,10.0,False
9,0,,,100,101,81,49.301098585128784,0,,False
5,0,1.0,,61,101,79,43.318710803985596,29,100000000.0,False
11,0,,,100,101,77,48.82412314414978,47,10000000.0,False
4,0,1.0,,55,101,80,43.398887634277344,85,10000.0,False
5,0,,,100,101,77,48.224804401397705,0,,False
8,0,1.0,,71,101,73,49.08852744102478,96,1000000.0,False
8,0,,,100,101,84,49.52180290222168,96,10000.0,False
4,0,,,100,101,79,48.55751323699951,96,10.0,False
9,0,,,100,101,84,48.57819867134094,53,1000000000.0,False
6,0,1.0,,67,101,51,43.73132634162903,76,1000000.0,False
11,0,1.0,,78,101,55,50.32217335700989,96,1000.0,False
0,0,1.0,,53,101,77,41.6864128112793,35,10000000.0,False
3,0,1.0,,38,101,90,33.492183446884155,17,1000000000.0,False
1,0,1.0,,32,101,83,32.30124640464783,34,100000.0,False
0,0,,,100,101,73,49.592243909835815,96,100.0,False
9,0,,,100,101,83,50.312230587005615,55,10000000.0,False
3,0,,,100,101,92,49.66076898574829,18,1000000000.0,False
8,0,1.0,,44,101,86,35.2525053024292,29,10000000.0,False
3,0,,,100,101,89,49.99391317367554,96,100.0,False
2,0,1.0,,54,101,91,41.26269865036011,80,1000000.0,False
8,0,1.0,,53,101,82,40.463653326034546,46,100000000.0,False
9,0,,,100,101,79,51.006097078323364,93,100000.0,False
2,0,1.0,,46,101,91,41.39577674865723,96,100.0,False
10,0,1.0,,72,101,62,49.008363008499146,96,10.0,False
11,0,,,100,101,79,47.565887451171875,34,1000000000.0,False
4,0,1.0,,60,101,80,43.48645758628845,96,100.0,False
1,0,1.0,,51,101,83,42.900949239730835,96,10.0,False
10,0,1.0,,72,101,62,48.817238092422485,96,100.0,False
3,0,1.0,,47,101,91,36.58319354057312,30,10000.0,False
4,0,1.0,,60,101,80,42.046552658081055,0,,False
7,0,1.0,,76,101,67,48.92115592956543,96,100000.0,False
0,0,1.0,,43,101,76,36.6455500125885,43,1000000.0,False
9,0,1.0,,74,101,71,48.8979709148407,89,1000000.0,False
7,0,1.0,,76,101,67,49.52510070800781,96,10000.0,False
5,0,,,100,101,83,49.45287036895752,34,100000000.0,False
7,0,,,100,101,77,50.874475717544556,89,1000000.0,False
3,0,1.0,,47,101,91,38.42357015609741,30,100000.0,False
11,0,1.0,,70,101,61,47.06711745262146,80,100000.0,False
11,0,,,100,101,64,51.78805470466614,80,1000000.0,False
5,0,1.0,,56,101,82,40.182687759399414,26,10000000.0,False
6,0,1.0,,69,101,67,49.00425744056702,96,100.0,False
2,0,1.0,,46,101,91,38.038957834243774,96,1000.0,False
1,0,1.0,,51,101,83,41.140056848526,96,1000.0,False
0,0,1.0,,57,101,76,42.687817096710205,96,100.0,False
5,0,,,100,101,77,49.8047149181366,77,100000.0,False
3,0,,,100,101,89,48.05200433731079,40,1000.0,False
0,0,,,100,101,73,51.69848847389221,96,1000.0,False
8,0,,,100,101,83,50.83005166053772,95,1000000.0,False
9,0,1.0,,54,101,85,41.14182996749878,93,1000.0,False
7,0,1.0,,76,101,67,51.643269777297974,96,100.0,False
3,0,1.0,,59,101,91,44.81449031829834,96,100.0,False
6,0,1.0,,51,101,68,42.49090886116028,58,10000000.0,False
0,0,1.0,,57,101,76,44.181050062179565,96,1000.0,False
6,0,1.0,,69,101,67,47.016217947006226,96,10000.0,False
11,0,,,100,101,68,49.043099880218506,0,,False
11,0,1.0,,80,101,64,49.586599349975586,79,1000000.0,False
1,0,,,100,101,81,49.426889419555664,17,100000000.0,False
10,0,1.0,,62,101,74,43.50311255455017,70,10000000.0,False
